repo_name,commit_date,lines_added,lines_removed,change_type,language,login,repo_nature
Awesome--Data-AI-careers-Roadmaps,2023-06-26 01:15:28+00:00,7,7,Add,,youssefHosni,Created
Awesome--Data-AI-careers-Roadmaps,2023-06-26 01:03:50+00:00,3,1,Add,,youssefHosni,Created
Awesome--Data-AI-careers-Roadmaps,2023-06-26 01:02:16+00:00,0,0,Remove,,youssefHosni,Created
Awesome--Data-AI-careers-Roadmaps,2023-06-26 00:25:20+00:00,13,1,Add,,youssefHosni,Created
Awesome--Data-AI-careers-Roadmaps,2023-06-26 00:21:42+00:00,23,0,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2024-02-03 22:09:05+00:00,1,1,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-12-27 09:37:22+00:00,2,1,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-12-13 22:28:13+00:00,1,0,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-12-13 22:22:55+00:00,1,0,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-10-01 08:17:37+00:00,1,0,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-08-08 01:09:14+00:00,1,1,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-08-08 01:07:51+00:00,1,0,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-08-07 23:34:34+00:00,5,3,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-08-01 14:36:52+00:00,1,0,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-08-01 14:31:44+00:00,1,1,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-07-31 23:57:22+00:00,1,0,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-07-05 18:11:17+00:00,1,0,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-06-28 15:33:01+00:00,1,0,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-06-24 15:01:00+00:00,1,0,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-06-22 22:12:06+00:00,1,1,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-06-20 15:17:41+00:00,1,0,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-06-19 09:44:28+00:00,7,6,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-06-13 23:28:05+00:00,1,0,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-06-13 19:38:04+00:00,1,0,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-06-08 20:45:45+00:00,1,0,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-06-07 17:39:02+00:00,1,0,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-06-06 04:26:09+00:00,1,1,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-06-06 04:25:48+00:00,1,1,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-06-06 04:14:08+00:00,1,1,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-06-06 04:13:42+00:00,2,1,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-06-05 05:43:18+00:00,1,0,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-06-01 12:41:12+00:00,1,0,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-05-28 05:38:39+00:00,1,0,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-05-27 19:06:40+00:00,1,0,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-05-27 14:12:38+00:00,1,1,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-05-23 22:26:05+00:00,1,0,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-05-18 00:57:22+00:00,1,0,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-05-16 23:04:53+00:00,2,0,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-05-16 21:25:29+00:00,1,0,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-05-16 18:27:28+00:00,1,0,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-05-16 15:56:52+00:00,1,0,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-05-16 14:09:22+00:00,1,0,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-05-15 12:24:01+00:00,7,7,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-05-15 12:21:59+00:00,21,0,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-05-15 12:20:35+00:00,1,0,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-05-15 12:12:19+00:00,1,1,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-05-15 12:11:23+00:00,2,1,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-05-15 12:08:45+00:00,1,1,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-05-15 12:08:08+00:00,0,0,Remove,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-05-15 12:07:53+00:00,1,0,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-05-15 08:03:33+00:00,1,1,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-05-15 07:52:02+00:00,1,1,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-05-15 07:51:25+00:00,0,0,Remove,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-05-15 07:49:34+00:00,6,6,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-05-15 07:47:02+00:00,1,1,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-05-15 07:44:58+00:00,0,0,Remove,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-05-15 07:43:44+00:00,0,0,Remove,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-05-15 07:43:05+00:00,0,0,Remove,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-05-15 07:42:36+00:00,0,0,Remove,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-05-15 07:42:16+00:00,0,0,Remove,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-05-15 07:40:53+00:00,0,0,Remove,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-05-15 07:40:03+00:00,1,0,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-05-15 07:39:39+00:00,1,0,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-05-14 16:55:21+00:00,5,0,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-05-14 16:45:31+00:00,1,0,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-05-14 16:44:40+00:00,2,0,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-05-14 16:43:40+00:00,1,1,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-05-14 16:43:05+00:00,2,0,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-05-14 16:42:18+00:00,2,0,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-05-14 16:37:59+00:00,7,7,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-05-14 16:37:13+00:00,12,0,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-05-14 16:27:25+00:00,1,1,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-05-14 16:26:57+00:00,1,1,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-05-14 16:26:44+00:00,1,2,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-05-14 16:26:22+00:00,1,1,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-05-14 16:26:07+00:00,1,1,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-05-14 16:25:53+00:00,2,2,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-05-14 16:25:34+00:00,1,1,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-05-14 15:59:40+00:00,7,1,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-05-14 15:34:49+00:00,1,1,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-05-14 15:34:28+00:00,7,1,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-05-14 15:23:12+00:00,5,1,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-05-14 15:18:08+00:00,4,0,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-05-14 15:15:13+00:00,2,2,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-05-14 14:18:19+00:00,8,9,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-05-14 14:01:28+00:00,16,0,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-05-14 13:54:46+00:00,9,0,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-05-14 13:52:05+00:00,1,1,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-05-12 04:14:15+00:00,1,1,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-05-10 17:22:34+00:00,1,0,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-05-10 15:53:58+00:00,1,0,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-05-10 15:36:55+00:00,1,0,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-05-10 14:59:01+00:00,12,0,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-05-09 21:02:32+00:00,2,0,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-05-09 21:01:19+00:00,1,0,Add,,youssefHosni,Created
Awesome-AI-Data-Guided-Projects,2024-01-22 10:05:22+00:00,4,4,Add,,youssefHosni,Created
Awesome-AI-Data-Guided-Projects,2024-01-20 12:08:02+00:00,10,10,Add,,youssefHosni,Created
Awesome-AI-Data-Guided-Projects,2024-01-20 12:05:16+00:00,10,10,Add,,youssefHosni,Created
Awesome-AI-Data-Guided-Projects,2024-01-20 11:58:42+00:00,13,16,Add,,youssefHosni,Created
Awesome-AI-Data-Guided-Projects,2024-01-20 10:37:44+00:00,10,10,Add,,youssefHosni,Created
Awesome-AI-Data-Guided-Projects,2024-01-19 02:55:45+00:00,4,4,Add,,youssefHosni,Created
Awesome-AI-Data-Guided-Projects,2024-01-19 02:26:50+00:00,11,0,Add,,youssefHosni,Created
