repo_name,commit_date,lines_added,lines_removed,change_type,language,login,repo_nature
300Days__MachineLearningDeepLearning,2023-12-20 20:03:14+00:00,1,0,Add,Jupyter Notebook,youssefHosni,Forked
course-collaboration-travel-plans,2021-04-27 06:10:22+00:00,2,0,Add,CSS,youssefHosni,Forked
localGPT,2023-10-24 18:11:00+00:00,0,0,Remove,Python,youssefHosni,Forked
localGPT,2023-10-24 18:10:38+00:00,0,0,Remove,Python,youssefHosni,Forked
localGPT,2023-10-24 18:10:01+00:00,29,7,Add,Python,youssefHosni,Forked
localGPT,2023-10-24 18:09:33+00:00,91,9,Add,Python,youssefHosni,Forked
localGPT,2023-10-24 18:09:09+00:00,2,0,Add,Python,youssefHosni,Forked
